Department,ServiceCode,Service Description,Type,NPHIES Code (Hyphenated )2,Price
Medical Device,MS-P-005010,PUMP INSULIN DEVICE KIT MINIMED 780G SYSTEM MEDTRONIC #MMT-1896WWA,MEDICAL DERVICES ,63262,45000.0
Medical Device,FMC1618,SET FOR FEEDING PUMP,MEDICAL DERVICES ,99999,134.0
Medical Device,SME1396,"SENSOR ADHESIVE NEONATAL 18"" F/RADICAL-7 MASIMO #2329",MEDICAL DERVICES ,62743,142.0
Medical Device,MS-S-001458,SET QUICK INFUSION  F/ INSULIN PUMP PARADIGM MEDTRONIC#MMT-339,MEDICAL DERVICES ,35838,720.0
Medical Device,MS-S-011451 , SET QUICK INFUSION  F/ INSULIN PUMP PARADIGM MEDTRONIC#MMT-396A SIZE 9MM 110C BOX OF 10,MEDICAL DERVICES ,35833,720.0
Medical Device,MS-T-001968,t:slim X2™ insulin pump with Control-IQ™ technology mg/dL - Tandem Diabetes Care INC. #1005615 (EACH),MEDICAL DERVICES ,35983,45000.0
Medical Device,MS-T-001972,Touch care insulin pump A7 (EACH),MEDICAL DERVICES ,45769,20000.0
Medical Device,P09INFUS1+,INFUSION QUICK SET 6MM X 60CM F/INSULIN PUMP MEDTRONIC #MMT-397 .,MEDICAL DERVICES ,35838,720.0
Medical Device,P09SENSO1+,SENSOR GUARDIAN 3 F/INSULIN PUMP MEDTRONIC #MMT-7020C1 .,MEDICAL DERVICES ,44611,1575.0
Medical Device,MS-D-001350,Dexcom G6 Sensor pack (x3)  Tandem Diabetes Care INC. #STS-GS-003 (EACH),MEDICAL DERVICES ,63261,1455.0
Medical Device,MS-S-012139,Slim CGM Sensor (PACK OF 4),MEDICAL DERVICES ,63261,270.0
Medical Device,MS-R-001017,RESERVOIR PATCH  (PACK OF 10),MEDICAL DERVICES ,35838,2200.0
Medical Device,MS-S-001457,SYRINGE INSULIN RESERVOIR 3ML F/PARADIGM MEDTRONIC#MMT-332A,MEDICAL DERVICES ,35838,468.0
Medical Device,P16ACCUC1+,ACCU-CHEK GLUCOMETER DEVICE .,MEDICAL DERVICES ,16488,402.5
Medical Device,MS-A-000567,AUTO CPAP DEVICE BT & SD CARD A-FLEX FULL MASK  & HEATED HUMIDIFIER PHILIPS#INX50015,MEDICAL DERVICES ,36700,8534.61
Medical Device,P15BIONI2+,BIONIME GLUCOMETER DEVICE .,MEDICAL DERVICES ,16488,126.5
Medical Device,P15ROSSM2+,BLOOD PRESSURE DEVICE ROSSMAX-BASIC .,MEDICAL DERVICES ,31681,345.0
Medical Device,P15WATCH1+,BLOOD PRESSURE MONITOR-BASIC .,MEDICAL DERVICES ,31681,460.0
Medical Device,P15HYGRO1+,BLOOD PRESSURE PIC CLEAR RAPID DEVICE .,MEDICAL DERVICES ,31681,460.0
Medical Device,P16CONTO1+,CONTOUR-TS GLUCOMETER DEVICE .,MEDICAL DERVICES ,16488,345.0
Medical Device,MS-M-000536,MACHINE BPAP BIPAP  EASY BREATHE WITH FULL MASK PHILIPS # 1020008,MEDICAL DERVICES ,36990,13000.0
Medical Device,P15NEBUL3+,NEBULISER IH18 (BEURER),MEDICAL DERVICES ,12716,345.0
Medical Device,P15NEBUL3+,NEBULISER IH18 (BEURER),MEDICAL DERVICES ,12716,345.0
Medical Device,P15ONE-T1+,ONE TOUCH GLUCOMETER DEVICE .,MEDICAL DERVICES ,16488,356.5
Medical Device,P15OXYGE1+,OXYGEN CONCENTRATOR-HOME DEVIC .,MEDICAL DERVICES ,61605,5635.0
